correo|nombre|dire|pais|departamento|prov|dist|ruc|rep|telefono|correo
echanduvi@comunicacionesaliadas.org |comunicaciones aliadas - |jr. daniel alcides carrion 866, 2° piso ||lima |||||721-3345 |echanduvi@comunicacionesaliadas.org 
consultor_hco@hotmail.com |comunidad campesina san asencion de racchicancha - |comunidad racchicancha alt. km.24 - carretera huanuco-llacon ||huánuco |||||962588442 / # 962588442 |consultor_hco@hotmail.com 
administrador@aguavivatrujillo.org ||calle las turmalinas 779 - urbanizacion los cedros ||la libertad |||||(044) 201425 |administrador@aguavivatrujillo.org 
terymorati@gmail.com |comunidad cristiana missio dei - |calle san luis 464 ||la libertad |||||(044) 349056 |terymorati@gmail.com 
padrecelestial_2016@outlook.com |con nuestro padre celestial movemos montañas de nuestra selva peruana - |av. la colina 273 (sec: flor de cafe) ||cajamarca |||||(041) 630583 |padrecelestial_2016@outlook.com 
codeco@codeco.org.pe |consejo de desarrollo del cooperativismo - codeco |"av. el condor mz ""g"" lt. 03 - tercer piso aa.hh. nuevo peru "||lima |||||376-4186 |codeco@codeco.org.pe 
codejun_1990@yahoo.com |consejo de juventudes nacionales - codejun |parque borgoño 143 ||lima |||||433 6327 / 780 5630 |codejun_1990@yahoo.com 
administracion@consejopp.org.pe |consejo de la prensa peruana - |calle los sauces 285 ||lima |||||4215293|administracion@consejopp.org.pe 
camdeperu@gmail.com |conservacion ambiental y desarrollo en el peru - camde peru |jr.billinghurst nº 433 ||madre de dios |||||082-571175 |camdeperu@gmail.com 
coecus.ong@gmail.com |gubernamental - coecus-ong |jr. la libertad 548 ||san martín |||||936297066|coecus.ong@gmail.com 
conservando@speedy.com.pe ||av. de los ingenieros 273 urb. valle hermoso ||lima |||||344-2875 / 4400339 |conservando@speedy.com.pe 
conservarperutrujillo@gmail.com |conservar peru - |av. cahuide 493 ||la libertad |||||044-403982 |conservarperutrujillo@gmail.com 
javier@cies.org.pe |consorcio de investigacion economica y social - cies |av. cayetano heredia 861 ||lima |||||463-2828 / 463-2829 |javier@cies.org.pe 
contacto@prodesll.org.pe |la libertad - prodes-ll |calle cavero y muñoz 126-150 urbanizacion las quintanas ||la libertad |||||(044) 203468 |contacto@prodesll.org.pe 
copeme@copeme.org.pe |pequeña empresa - copeme |jr. leon velarde 333 ||lima |||||471-9526 / 472-5988 |copeme@copeme.org.pe 
consorcioraymondi@consorcioraymondi.org |raymondi - consorcio raymondi |los corales 289 urb. santa ines ||la libertad |||||(044) 291651 |consorcioraymondi@consorcioraymondi.org 
cipder@gmail.com |consorcio interinstitucional para el desarrollo regional - cipder |jr. los naranjos 151 - urbanizacion el ingenio ||cajamarca |||||(076) 365320 |cipder@gmail.com 
codinfa-peru@codinfa.org.pe |consorcio para el desarrollo integral de la niñez y la familia andina - codinfa |calle amsterdan mz. h, lt. 06, los portales de javier prado ||lima |||||976311006|codinfa-peru@codinfa.org.pe 
condesan@condesan.org ||calle las codornices 253 (entre cuadr. 7 y 8 de la av. aramburu) ||lima |||||618-9400 |condesan@condesan.org 
mivalgar@yahoo.es / olozano_reategui@hotmail.com |consorcio para el desarrollo sostenible de ucayali - codesu |jr. cerro de pasco 170 ||ucayali |||||961938753|mivalgar@yahoo.es / olozano_reategui@hotmail.com 
saulconstruyendounmundomejor@gmail.com |construyendo un mundo mejor - |av. republica peru mz. e lote 13 san jose ||la libertad |||||920779743|saulconstruyendounmundomejor@gmail.com 
glapiqueto@hotmail.com |consuelo torres tello de los pobres y proyectos para el desarrollo sostenible - |"av. jose maria seguin 820 unidad ""d"" "||lima |||||276-6653 |glapiqueto@hotmail.com 
cepdiorg@yahoo.es |consultores y ejecutores de proyectos de desarrollo integral - cepdi |jr. maria parado de bellido 1017 urb. la magdalena ||ayacucho |||||066-316652 |cepdiorg@yahoo.es 
aleyva@cooperaccion.org.pe / |cooperaccion - |jr. rio de janeiro 373 ||lima |||||461-2223 / 461-3864 |aleyva@cooperaccion.org.pe / 
cocid_ongd@yahoo.es |cooperacion cristiana para el desarrollo - cocid |jr. andalucia 528 ||san martín |||||975777103|cocid_ongd@yahoo.es 
marzolinepacheco@hotmail.com |cooperacion integral al desarrollo social y productivo - coodespro |calle renan elias olivera 332 urb. la corporacion ||lima |||||327-5400 |marzolinepacheco@hotmail.com 
codea.loreto@gmail.com ||calle cesar calvo de araujo 2035 ||loreto |||||(065) 265456 / 921755659 |codea.loreto@gmail.com 
amparo@viventura-network.com |cooperacion peruano europea para sudamerica - copeesu |calle malaga grenet nº 314 umacollo ||arequipa |||||054 - 271905 |amparo@viventura-network.com 
cooru@cooru.org |coordinadora rural |av. ricardo tizon y bueno 847 ||lima |||||4713921 / 4715238 / 4713413 |cooru@cooru.org 
pumamayo@hotmail.comcodiconp@gmail.com | - codiconp |av. cultura o-3 ||cusco |||||999211288|pumamayo@hotmail.comcodiconp@gmail.com 
wsilva@derechoshumanos.pe |coordinadora nacional de derechos humanos - cnddhh |jr. jose pezet y monel 2467 ||lima |||||419-1111 |wsilva@derechoshumanos.pe 
enramirez@hotmail.com |condesap |jr. orion 2532 - urb. santa elizabeth 1° etapa ||lima |||||994418809|enramirez@hotmail.com 
jose.saavedra@citperu.org |coordinadora por la inversion y el trabajo del peru (citperu) - |calle manco capac 466 ||lima |||||262-3752 |jose.saavedra@citperu.org 
cops.peru@gmail.com |cops |calle alhelies l 34 ||ica |||||056-210191 |cops.peru@gmail.com 
marilusalasc@hotmail.com |corazon solidario - |jr. san martin 792 ||huánuco |||||062-512900 |marilusalasc@hotmail.com 
davidzamora1986@hotmail.com |corazones felices - |av. santiago antunez de mayolo mza. d lote 3 coop. el oliv ||lima |||||995957288 / 677-9840 |davidzamora1986@hotmail.com 
clandes_ong@hotmail.com / clandes_ongd@yahoo.es |cordillera los andes - clandes |jr. chincha 306 int 201 - urb. mesa redonda ||lima |||||639-9621 |clandes_ong@hotmail.com / clandes_ongd@yahoo.es 
sincos55@yahoo.es |corporacion de desarrollo sincos - cordesi |alameda del crepusculo nº 337 - urb. alborada ||lima |||||999701732|sincos55@yahoo.es 
nsilva@creationperu.org |creation peru - |av. larco 770 oficina 401 ||la libertad |||||044-383484 |nsilva@creationperu.org 
creser@creser.pe |del desarrollo integral - |av. benavides 3583 oficina 302 urb. higuereta ||lima |||||448-0256 |creser@creser.pe 
osama.cristianosunidos10@gmail.com |cristianos unidos - |calle mancocapac 586-a, 2° piso oficina 2, los chancas de andahuaylas ||lima |||||946123962|osama.cristianosunidos10@gmail.com 
guerinstephane@yahoo.fr |cruz verde amazonica - |jr. los andes 512 ||san martín |||||(042) 525677 |guerinstephane@yahoo.fr 
clip.la.peru@gmail.com |cuerpo de liderazgo internacional basado en principios - |av. la torre 428 ||puno |||||(051) 200919 |clip.la.peru@gmail.com 
elt142@gmail.com |cultura global - cult global |calle de las letras 199, departamento 206 ||lima |||||2707243|elt142@gmail.com 
contacto@darconalegria.com |dar con alegria - |calle los tacones 2215 ||lima |||||2224826 / 2210318 |contacto@darconalegria.com 
abel_fe1710@hotmail.com |defendiendo la vida - |calle madrid 212 urb. san nicolas ||la libertad |||||044-346455 |abel_fe1710@hotmail.com 
wmansilla_15@hotmail.com / dmarfperu@yahoo.com |defensa del medio ambiente reforestacion y forestacion - dmarf |jr. 22 de febrero ||la libertad |||||# 948191188 |wmansilla_15@hotmail.com / dmarfperu@yahoo.com 
demus@demus.org.pe |demus - estudio para la defensa de los derechos de la mujer - |jr. caracas 2624 ||lima |||||463-1236 / 463-8515 |demus@demus.org.pe 
dar@dar.org.pe |derecho, ambiente y recursos naturales - |jr. huascar 1415 ||lima |||||340-3780 / 340-3720 |dar@dar.org.pe 
fdinp@fundacionpachacutec.org |desarrollo integral de nuevo pachacutec - |av. baltazar la torre 385 - piso 2° ||lima |||||264-3808 |fdinp@fundacionpachacutec.org 
juanr@solidperu.com |desarrollo integral del adolescente - |jr. 28 de julio 262, int. 307 (segundo patio plaza more) ||ayacucho |||||(066) 314612 |juanr@solidperu.com 
castagninogiovanna@yahoo.com |desarrollo urbano sostenible - |calle kivur 291 - ueb. rinconada alta ||lima |||||657-8486 / 962373087 |castagninogiovanna@yahoo.com 
info@deseaperu.org / judy@deseaperu.org |desea peru - |calle huascar s/n (esquina de la plaza de armas de lamay ||cusco |||||959-293920 |info@deseaperu.org / judy@deseaperu.org 
central@diaconiaperu.org |- |jr. general orbegoso 728 ||lima |||||423-5245 |central@diaconiaperu.org 
acdisam@hotmail.com |diversidad san martinense - |jr. jimenez pimentel n° 1325 ||san martín |||||042-520429 |acdisam@hotmail.com 
drislima@terra.com.pe / renato.rios@drisperu.org |dris / desarrollo rural sustentable - |av. javier prado 7585, 2°piso ||lima |||||340-2304 |drislima@terra.com.pe / renato.rios@drisperu.org 
jorge.sosa@eagle-condor.org ||calle shell 690, urb. leuro ||lima |||||943442530|jorge.sosa@eagle-condor.org 
info@ecoredd.org.pe |eco redd - |av. arequipa 2544, dpto. 503 ||lima |||||463-1546 |info@ecoredd.org.pe 
shaleyla.kelez@ecoceanica.org |ecoceanica - |calle copernico 179 ||lima |||||4769166|shaleyla.kelez@ecoceanica.org 
bjcelmy@hotmail.com |ecologia tecnologia consultores b&m - ecotec. b&m |jr. comercio 522 ||cajamarca |||||948333947 - (076) 630575 |bjcelmy@hotmail.com 
ecosad.peru@ecosad.org |ecosad - consorcio por la salud, ambiente y desarrollo - |jr. saco oliveros 295, dpto. 501 - santa beatriz ||lima |||||301-1437 |ecosad.peru@ecosad.org 
jorlandodiazf@gmail.com |ecoselva - |av. fray jeronimo mz. f lote 25 urb. san carlos ||junín |||||064-531160 |jorlandodiazf@gmail.com 
info@ecoswell.org / andres.bustamante@ecoswell.org |ecoswell - |calle las acacias 168, dpto. 401 ||lima |||||256-9860 / 959578765 |info@ecoswell.org / andres.bustamante@ecoswell.org 
educar.sembrando@gmail.com |educar sembrando, ongd - |calle 15 nº 199 - urbanizacion las magnolias ||lima |||||993560205 - 3995232 |educar.sembrando@gmail.com 
postmast@eduvida.org |eduvida - |parque manuel gonzalez prada 795 ||lima |||||262-9589 |postmast@eduvida.org 
ecaamarakaeri2018@gmail.com |ejecutor de contrato de administracion de la reserva comunal amarakaeri - |jr. los sauces 325 a.h. los castaños, 1° piso ||madre de dios |||||082-502509 |ecaamarakaeri2018@gmail.com 
eco_ashaninka@yahoo.es |ashaninka) - |av. marginal 292, piso 3, urb. el milagro ||junín |||||(064) 545489 |eco_ashaninka@yahoo.es 
ecopurus.peru@gmail.com / garanda@apeco.org.pe |purus |av. luis muñoz nadal s/n puerto esperanza ||ucayali |||||996470302|ecopurus.peru@gmail.com / garanda@apeco.org.pe 
contactos@ongelcanariosalvador.com |el canario salvador - |calle cueto fernandini 908, 2° piso, urb. el bosque ||la libertad |||||(044) 615650 |contactos@ongelcanariosalvador.com 
edendeldivinojesus@gmail.com |el eden del divino niño jesus - |calle maximo valenzuela 202 urb. cueto fernandini ||lima |||||6331440|edendeldivinojesus@gmail.com 
eltaller@eltaller.org.pe |el taller. asociacion de promocion y desarrollo - el taller |urb. cabaña maria j-5 ii etapa cercado ||arequipa |||||(054) 201363 |eltaller@eltaller.org.pe 
info@creciendo.org.pe |empezamos creciendo - |paseo saenz peña 117-208 ||lima |||||271-9786 |info@creciendo.org.pe 
claudia@emprendedorasdelhogar.org |emprendedoras del hogar - |av. primavera 120 al 127 ||lima |||||267-0369 |claudia@emprendedorasdelhogar.org 
emsolam@hotmail.com |emprendedores solidarios de lambayeque - emsolam - |calle los laureles 157 urb. los libertadores ||lambayeque |||||(074) 205390 |emsolam@hotmail.com 
administracion@encuentros-sjs.org / encuentros@encuentros-|encuentros - servicio jesuita de la solidaridad - |jiron fulgencio valdez 780 ||lima |||||637-1520 / 637-3704 |administracion@encuentros-sjs.org / encuentros@encuentros-
msmtrece@gmail.com |asociacion entre pares - |av. el sol este 506, oficina 302 ||lima |||||2499712|msmtrece@gmail.com 
procamamazonia@gmail.com |equipo de promocion y capacitacion amazonica - procam |jr. junin 662 ||junín |||||064-546731 |procamamazonia@gmail.com 
marvega05@yahoo.es / edacaj@edac.org.pe |equipo de desarrollo agropecuario de cajamarca - edac |las casuarinas mz. f lte. 3 - urb. el ingenio ||cajamarca |||||076-314077 |marvega05@yahoo.es / edacaj@edac.org.pe 
edaprospo@adapr.org.pe |equipo de educacion y autogestion social - edaprospo |psje. octavio bernal 598 ||lima |||||463-4173 |edaprospo@adapr.org.pe 
jgarridolecca@erartperu.org |erart - |av. 15 de enero 284 - int. 101 urb. san antonio ||lima |||||447-8930 |jgarridolecca@erartperu.org 
administracion@escaes.net |escuela campesina de educacion y salud señor cautivo de ayabaca - escaes |jr. junin 589 ||lima |||||4613047|administracion@escaes.net 
gerencia@danielrios.fc.pe.hu |escuela de formacion deportiva y de futbol daniel rios f.c. - |av. morro solar 230 dpto.102 urb. valle hermoso chacarilla ||lima |||||256-6625 |gerencia@danielrios.fc.pe.hu 
emayor@emayor.edu.pe |escuela mayor de gestion municipal - |sector 3, grupo 15 mza. c lote 3 ||lima |||||493-0606 |emayor@emayor.edu.pe 
administracion@escuela.org.pe / informes@escuela.org.pe |escuela para el desarrollo - |av del ejercito 1218 dpto. 402 ||lima |||||264-9994 / 2645189 |administracion@escuela.org.pe / informes@escuela.org.pe 
hsanchez@epicentro.org.pe |espacio comun - |calle jaen 250 ||lima |||||247-2755 |hsanchez@epicentro.org.pe 
cesar.ed@circoetno.com |etnoartes asociacion civil - |calle comercio 173 - urb. torres de san borja ||lima |||||996843913|cesar.ed@circoetno.com 
fenamad@fenamad.com.pe |federacion nativa del rio madre de dios y afluentes - fenamad |av. 26 de diciembre 276 ||madre de dios |||||(082) 572499 |fenamad@fenamad.com.pe 
fepromuica@speedy.com.pe |federacion provincial de mujeres de ica - fepromu-ica |calle capulies l-28 - urb. san isidro (parque miguel grau) ||ica |||||056-216808 |fepromuica@speedy.com.pe 
info@ficus.org.pe |ficus peru desarrollo socio ambiental - ficus desarrollo socioambiental |calle lauricocha h-02 urb. los manzanos ||lima |||||969358156|info@ficus.org.pe 
filomena@terra.com.pe |filomena tomaira pacsi, servicios a la mujer minera - filomena |calle almirante guisse 1149 ||lima |||||266-0164 / (064) 392098 |filomena@terra.com.pe 
fincaperu@fincaperu.net |finca peru - |jr. domingo casanova 151 ||lima |||||222-9220 |fincaperu@fincaperu.net 
proeducaris@gmail.com |first world education proeducaris - proeducaris |calle los artesanos 299, dpto. 202 ||lima |||||239-9548 |proeducaris@gmail.com 
fiad@udep.pe |fomento de investigacion y accion para el desarrollo (fiad) - |av. ramon mugica 131 urb. san eduardo ||piura |||||(073) 284500 - 5210 |fiad@udep.pe 
mcuentas@fovida.org.pe / postmast@fovida.org.pe |fomento de la vida - fovida |av. horacio urteaga 1727,urb. fundo oyague (alt. av. brasil) ||lima |||||262-3479 |mcuentas@fovida.org.pe / postmast@fovida.org.pe 
mcruz_52@yahoo.es |fondo de desarrollo de la universidad de huanuco - fonduh |jr. hermilio valdizan 871 ||huánuco |||||062-519773 (anexo 871) |mcruz_52@yahoo.es 
fonca.peru@hotmail.com |lucro - fonca - peru |av. universitaria 695 - enace ||lima |||||997712156 / 6206707 |fonca.peru@hotmail.com 
secretaria@fondoverde.org |fondo verde internacional - |calle santa lucia 305, urb. san antonio ||junín |||||(064) 601239 |secretaria@fondoverde.org 
cgoyko@gmail.com |forest shambhala - afs |calle lloque yupanqui 200 ||cusco |||||999317591|cgoyko@gmail.com 
fni@fni.pe |foro nacional internacional - |av. monterrico (ex manuel olguin) 533 - int. 403 ||lima |||||437-3792 |fni@fni.pe 
psf@psf.com.pe |forum solidaridad peru - f.s.p. |mariscal miller 2622 ||lima |||||207-6840 / 207-6843 / 719-|psf@psf.com.pe 
presidenciaejecutiva@santhony.org.pe / |saint anthony marianist callao peru for the kids - |calle los condores 161, oficina 402, urb. san jose ||callao |||||414-8227 |presidenciaejecutiva@santhony.org.pe / 
informes@fundacionamazoniaviva.pe / |fundacion amazonia viva - fundavi |jr. eduardo peña meza 1170 ||san martín |||||942039002|informes@fundacionamazoniaviva.pe / 
daniel.amaya@fundacioncalma.org |fundacion calma - |calle capirona 139 oficina 2 ||lima |||||379-2056 |daniel.amaya@fundacioncalma.org 
proyectus28@hotmail.com / |fundacion caridad mundial - |jr. ramon castilla 640 ||lima |||||2289082 / 975046803 / |proyectus28@hotmail.com / 
fch@fundacioncayetanoheredia.org |fundacion cayetano heredia - |av. armendariz 445 ||lima |||||446-1870 |fch@fundacioncayetanoheredia.org 
fcapperu@gmail.com |fundacion cesar acuña peralta - |calle alcides carrion 552 - urb. san nicolas ||la libertad |||||949602802|fcapperu@gmail.com 
jaguilar@lal.com.pe / atavara@lal.com.pe |fundacion comunal san martin de sechura - |jr. zona industrial 404 (sector nor este de sechura) ||piura |||||445-1832 anexo 114 / (073) |jaguilar@lal.com.pe / atavara@lal.com.pe 
soniaosay@csrmining.org |fundacion cordon del plata del peru - |calle general varela 356, dpto. 507 ||lima |||||983577826|soniaosay@csrmining.org 
fcvperu@gmail.com / amgg.fcvperu@gmail.com |fundacion cristo vive peru - |plazoleta recoleta s/n urb. tawantinsuyo (costado templo) ||cusco |||||(084) 232378 / 984915808 |fcvperu@gmail.com / amgg.fcvperu@gmail.com 
secretaria@fundaciondonbosco.org.pe |fundacion don bosco - |av. brasil 218 ||lima |||||423-1415 / 425-0880 |secretaria@fundaciondonbosco.org.pe 
contacto@ecoverdeperu.org.pe / ecoteranr@gmail.com |fundacion eco verde - fundacion eco verde |jr. chincha alta 624 ||amazonas |||||(041) 477078 / 961071186 |contacto@ecoverdeperu.org.pe / ecoteranr@gmail.com 
elchicolaser@outlook.com.pe |fundacion el chico laser, ong - |av. aurelio miroquesada 1055 ||lima |||||726-9018 / 954400177 |elchicolaser@outlook.com.pe 
julio.sotelo@fundhope.org / waltermeekes@fundhope.org |fundacion hope holanda peru - |urb. quispicanchi, calle venezuela k-15 dpto. 601 ||cusco |||||984709501|julio.sotelo@fundhope.org / waltermeekes@fundhope.org 
fundamarg.trujillo@gmail.com |fundacion margarita - fundamarg |calle san andres 356, urbanizacion san andres ||la libertad |||||(044) 257831 |fundamarg.trujillo@gmail.com 
info@museoamano.org |fundacion museo amano - |calle retiro 160 ||lima |||||441-2909 |info@museoamano.org 
fundacionanar@anarperu.org |fundacion nuestro hogar a.n.a.r. - |av. separadora industrial 2262, urb. santa felicia ||lima |||||348-1717 anexo 306 |fundacionanar@anarperu.org 
fon_piura@hotmail.com |fundacion oftalmologica del norte, piura peru - |av. grau 1026 ||piura |||||(073) 325708 |fon_piura@hotmail.com 
oliver.laban@fundacionaolympic.com |fundacion olympic - |av. chirichigno 351 - urb. el chipe ||piura |||||073-304324 |oliver.laban@fundacionaolympic.com 
central@fundacionfdaperu.com |fundacion para el desarrollo agrario - fda |calle camilo carrillo 325 ||lima |||||3919164|central@fundacionfdaperu.com 
aabusabal@fundades.org |fundacion para el desarrollo solidario - fundades - fundades |jr. montero rosas 150 ||lima |||||391-3300 anexo 201 |aabusabal@fundades.org 
tanf_fundaved123@hotmail.es |fundacion para la vida, vivienda y educacion - fundaved - |jr. los cerezos 450-554 - cercado de juliaca ||puno |||||951534109|tanf_fundaved123@hotmail.es 
fundacion@chio-lecca.edu.pe |fundacion por la calidad de vida de los mas necesitados chio lecca - |javier prado oeste 1310 urb. orrantia ||lima |||||221-5546 / 965343818 |fundacion@chio-lecca.edu.pe 
fundaciontrujillodes@gmail.com |fundacion trujillo para el desarrollo educativo y social - |av. españa 2524 4to piso ||la libertad |||||044-225423 |fundaciontrujillodes@gmail.com 
eferrandz@yahoo.es |funderperu - |jr. silva santisteban 446 ||cajamarca |||||076-362347 |eferrandz@yahoo.es 
futurocajayperu12@outlook.es ||mz.133 lote 14 aa.hh. enrique milla ochoa -paradero omega ||lima |||||973872079|futurocajayperu12@outlook.es 
celinatorres@futurosostenible.org |futuro sostenible - |calle arica 115 oficina 204 ||lima |||||4453780 / 4451014 |celinatorres@futurosostenible.org 
warmi.ongd@gmail.com |gestion del conocimiento para el desarrollo - warmi - |jr. pomarrosas mza. j - 01 - urb. el golf ||la libertad |||||942640184|warmi.ongd@gmail.com 
rbalarezo@globalhumanitaria.com |global humanitaria peru - global humanitaria |jr. jose m. moral 215 ||puno |||||(051) 368527 |rbalarezo@globalhumanitaria.com 
danlish@gods-freedom.com |god´s freedom financial del peru organismo no gubernamental - |calle mariscal miller 287, dpto. 3-d ||lima |||||583-9136 / 991901380 |danlish@gods-freedom.com 
amarinlizada@gmail.com |good neighbors peru - |pasaje pardo y aliaga 111, urb. salamanca ||lima |||||435-1453 |amarinlizada@gmail.com 
ifranco@grade.org.pe / climache@grade.org.pe |grupo de analisis para el desarrollo - grade |av. almirante miguel grau 915 ||lima |||||247-9988 / 247-1854 |ifranco@grade.org.pe / climache@grade.org.pe 
gades.peru_lima@yahoo.com |grupo de apoyo al desarrollo sostenible - gades |jr. gregorio vii 416 ||lima |||||989816333 - 353-9633 |gades.peru_lima@yahoo.com 
j.ortega@grufides.pe |grupo de formacion e intervencion para el desarrollo sostenible - grufides |jr. cruz de piedra 441 barrio cumbe mayo ||cajamarca |||||(076) 342082 |j.ortega@grufides.pe 
gin@gin.org.pe |grupo de iniciativa nacional por los derechos del niño - gin |calle daniel alcides carrion 866 ||lima |||||460-9917 / 461-7049 |gin@gin.org.pe 
ongbarbaradachille@gmail.com |g.e.b.a.o.n.g |calle bolivia 505 - urb. fecia ||arequipa |||||054-214028 |ongbarbaradachille@gmail.com 
mbmunoz@grupogea.org.pe / grupogea@grupogea.org.pe ||av. chorrillos 150 ||lima |||||467-1802 / 467-1975 / 467-|mbmunoz@grupogea.org.pe / grupogea@grupogea.org.pe 
grugeskipece@yahoo.com |grupo gestor kipece - |av. almirante miguel grau 103, interior h ||lima |||||2150089|grugeskipece@yahoo.com 
saulp76@yahoo.com |grupo pro - eco progreso y ecologia - |av. francisco inga mz. d lote 10 ||lima |||||361-8048 |saulp76@yahoo.com 
grupovigencia@gmail.com |grupo vigencia, organizacion de apoyo social al adulto mayor o.n.g. - |av. la encalada 1202 oficina c - 406 ||lima |||||978006279 / 993692339 |grupovigencia@gmail.com 
marialuzmismanos@outlook.com / |hampicamalloc - |calle monteagudo 576 ||callao |||||989634294|marialuzmismanos@outlook.com / 
ivyrc@hotmail.com |hatun soncco - |urb. los alamos b - 20b ||cusco |||||084-260369 |ivyrc@hotmail.com 
gerenteadministrativo@clinicasanjuandedios.pe |hogar clinica san juan de dios - iquitos - |carretera iquitos - nauta km. 2.8 ||loreto |||||(065) 606689 |gerenteadministrativo@clinicasanjuandedios.pe 
hogardevidaperu@yahoo.es |hogar de vida - |jr. puente y cortes y maria 571 (ex. ayacucho) ||lima |||||462-0763 |hogardevidaperu@yahoo.es 
trojas@horizonte-corp.org ||av. benavides 1944 - int. 504 - urb. el rosedal ||lima |||||618-5656 |trojas@horizonte-corp.org 
abelvidalv@yahoo.es |huella verde - |mz. g lote 14 grupo 3 - sector 3 ||lima |||||570-1749 |abelvidalv@yahoo.es 
humanismus@humanismus.pe |humanismus instituto humanista - humanismus |av. prolongacion cesar vallejo mz. c lote 58 dpto. 301 ||la libertad |||||044-322179 |humanismus@humanismus.pe 
admin@impacto-cristiano.com |impacto cristiano - ongd - |av. el triunfo 330, urb. ciudad del chofer ||lambayeque |||||(074) 261170 |admin@impacto-cristiano.com 
incawasi@incawasi.org.pe |incawasi - i.w. - |jr. tarapaca 580 ||cajamarca |||||(076) 344645 |incawasi@incawasi.org.pe 
jrquirozperez@yahoo.es / jucerave_07@hotmail.com |indoamerica libre - |av. mansiche 379, oficina 02, 2° piso, urb. san nicolas ||la libertad |||||949-921313 / 999462798 |jrquirozperez@yahoo.es / jucerave_07@hotmail.com 
jose.purisaca@inkaterra-asociacion.org |inka terra asociacion - ita |jr. cusco 436 ||madre de dios |||||(082) 572283 |jose.purisaca@inkaterra-asociacion.org 
inmedandes@inmed.org |inmed andes - |av. faustino sanchez carrion 457, dpto. 1303 ||lima |||||975707656|inmedandes@inmed.org 
inproju@gmail.com |innovacion y progreso juvenil ucayali - inproju |jr. cesar vallejo mz. b lote 11 ||ucayali |||||(061) 289301 |inproju@gmail.com 
ides.peru1@gmail.com / tcondori@hotmail.com |innovaciones para el desarrollo sostenible - ides |jr. cancharani 456-barrio vallecito ||puno |||||961022060|ides.peru1@gmail.com / tcondori@hotmail.com 
inpet@speedy.com.pe /inpet@gmail.com |inpet - instituto de promocion del desarrollo solidario - |jr. tiahuanaco 676, urb. zarate ||lima |||||459-9158 |inpet@speedy.com.pe /inpet@gmail.com 
mventocilla@cuanto.org ||jiron trujillo 703 ||lima |||||264-1695 / 264-1699 |mventocilla@cuanto.org 
vlopez@institutoapoyo.org.pe |instituto apoyo - |av. camino real 390 - ofic. 1201-b- torre central c.c.c.real ||lima |||||201- 8070 |vlopez@institutoapoyo.org.pe 
bartolo@bcasas.org.pe |instituto bartolome de las casas - rimac - ibc-rimac |calle belisario flores 687 ||lima |||||472-3410 / 470-9088 |bartolo@bcasas.org.pe 
damosvision@gmail.com |instituto damos vision - |av. brasil 1129 ||lima |||||424-7450 |damosvision@gmail.com 
iaccusco@speedy.com.pe |instituto de animacion campesina luis vallejos santoni - iac |calle bolivar 640 ||cusco |||||084-274307 |iaccusco@speedy.com.pe 
imar@speedy.com.pe |norte |jr. napo 379 urbanizacion jose quiñones ||lambayeque |||||(074) 203488 |imar@speedy.com.pe 
inaderperuongd1@hotmail.com |ongd |calle zenobio tello 160 ||apurimac |||||083-501889 |inaderperuongd1@hotmail.com 
qoripaccha.1@gmail.com |inasprodeh vidme |av. los precursores 1008 ||lima |||||975588137|qoripaccha.1@gmail.com 
vnack@blansal-casaverde.org ||calle 07 de junio 141 pasaje la tomilla ||arequipa |||||(054) 485114 |vnack@blansal-casaverde.org 
incadehsperu@hotmail.com |incadehs peru |jr. carabaya 840, oficina 109 ||lima |||||980090363 / 4284941 |incadehsperu@hotmail.com 
belsygj@icpac-peru.org |instituto de conservacion del patrimonio construido - |jr. bolivar 323 oficina 101 ||la libertad |||||044-223604 |belsygj@icpac-peru.org 
lucindavela.vergas@gmail.com / enriquearevaloga@gmail.com |instituto de cultivos tropicales - ict |av. ahuashiyaco s/n cuad.16(costado urb.santa barbara)sec.laguna ||san martín |||||(042) 630036 |lucindavela.vergas@gmail.com / enriquearevaloga@gmail.com 
mparodi@icp.com.pe |instituto de cultura y politica - |calle luis felipe villaran 12 ||lima |||||421-7825 |mparodi@icp.com.pe 
alfonsocampos1@hotmail.com |instituto de defensa de desarrollo economico y derechos humanos - idededehu |rosendo leder 286 ||lima |||||2762275 / 999019102 |alfonsocampos1@hotmail.com 
rivera@idl.org.pe / idl@idl.org.pe |instituto de defensa legal - idl |av. pardo y aliaga 272 ||lima |||||617-5700 |rivera@idl.org.pe / idl@idl.org.pe 
yamiraperu@hotmail.com |central - indasem - peru |carretera marginal - villa maria - los olivos lote 01 ||junín |||||971624852|yamiraperu@hotmail.com 
ongidasa@yahoo.es |instituto de desarrollo agropecuario y servicios asistenciales - idasa |jr. abtao 784 ||huánuco |||||962629867|ongidasa@yahoo.es 
ideas_ong@hotmail.com |instituto de desarrollo ambiental y social - ideas |calle san andres 261 - upis nuevo san lorenzo ||lambayeque |||||074-495390 / 202777 |ideas_ong@hotmail.com 
idecum@yahoo.es |instituto de desarrollo comunal urbano marginal - idecum |jr. junin nº 369 ||junín |||||064-242278 |idecum@yahoo.es 
idesirg@speedy.com.pe ||av. grau 1228 ||piura |||||(073) 327925 |idesirg@speedy.com.pe 
